Date,Open,High,Low,Close
22-Aug-11,5095.85,5138.1,5035.2,5087.65
23-Aug-11,5103.95,5329.1,5084,5289.1
24-Aug-11,5286.35,5286.35,5188.15,5222.1
25-Aug-11,5233.1,5247.1,5069.1,5096.7
26-Aug-11,5097.25,5188.9,5051.95,5088.7
29-Aug-11,5160.7,5360.55,5160.7,5339.1
30-Aug-11,5407.65,5474.85,5325.45,5451.25
02-Sep-11,5554.9,5554.9,5311.8,5384.15
05-Sep-11,5338.7,5338.7,5235.45,5299.65
06-Sep-11,5270.7,5389.1,5204.15,5366.2
07-Sep-11,5366.8,5423.5,5337.9,5374.95
08-Sep-11,5390.95,5509.2,5390.95,5456.1
09-Sep-11,5450.8,5456.2,5313.7,5339.2
12-Sep-11,5219.2,5219.2,5139.95,5157.85
13-Sep-11,5209.65,5303.45,5158.55,5204.75
14-Sep-11,5253.6,5449.1,5247.9,5425.1
15-Sep-11,5484.85,5570.6,5385.95,5550.15
16-Sep-11,5620.35,5620.35,5477.8,5494.05
19-Sep-11,5491.05,5498.9,5434.85,5443.4
20-Sep-11,5467.85,5623.8,5459.85,5613.35
21-Sep-11,5634.15,5662.5,5574.55,5606.95
22-Sep-11,5502.8,5536.95,5349.65,5385.3
23-Sep-11,5340.85,5465.9,5333.35,5367.75
26-Sep-11,5385.2,5415.45,5278.5,5387.65
27-Sep-11,5444.1,5617.25,5444.1,5579.7
28-Sep-11,5640.95,5749.6,5592.1,5623.9
29-Sep-11,5630.35,5764.45,5605.5,5746.15
30-Sep-11,5709,5771.3,5658.75,5678.9
03-Oct-11,5592.8,5632.8,5549.65,5588.1
04-Oct-11,5544.2,5599.9,5478.1,5537.1
05-Oct-11,5576.8,5638.7,5516.55,5532.8
07-Oct-11,5734.45,5772.2,5601.85,5640.95
10-Oct-11,5685.75,5814,5674.7,5796.45
11-Oct-11,5822.1,5831.05,5615.5,5637.95
12-Oct-11,5793.2,5945.7,5793.2,5934.25
13-Oct-11,6011.65,6035.7,5953.55,5978.55
14-Oct-11,5987.9,6135.2,5972.1,6119.65
17-Oct-11,6165.95,6172.15,6069.8,6096.5
18-Oct-11,5939.6,5939.6,5852.1,5881
19-Oct-11,5923.85,5966.6,5901.4,5959.9
20-Oct-11,5889.95,5987.3,5870.45,5975
21-Oct-11,5991.15,5991.15,5932.35,5948.45
24-Oct-11,6002.2,6090.9,6002.2,6056.5
25-Oct-11,6128.6,6267.4,6099.3,6217.3
26-Oct-11,6228,6236.25,6178.35,6187.05
28-Oct-11,6346.45,6432.65,6246.6,6273.95
31-Oct-11,6271.2,6333.85,6261.25,6278.7
01-Nov-11,6219.65,6284.8,6173.35,6214.1
02-Nov-11,6180.15,6256.5,6179.6,6220.1
03-Nov-11,6208.85,6227.7,6102.1,6169.8
04-Nov-11,6250.55,6268.75,6135.45,6200.2
08-Nov-11,6176.2,6227.2,6154.2,6216.45
09-Nov-11,6228.35,6303.5,6215.65,6233.05
11-Nov-11,5937.9,6219.35,5937.9,6168.85
14-Nov-11,6226.3,6280.45,6198.05,6210.3
15-Nov-11,6189.45,6230,6156.95,6175.1
16-Nov-11,6168.75,6168.75,6073.95,6111.1
17-Nov-11,6090.75,6121.05,6034.75,6065.1
18-Nov-11,6019.7,6062.55,5978.8,6017.8
21-Nov-11,5981,5999.45,5835.6,5885.3
22-Nov-11,5801.25,6049.35,5801.25,5987.2
23-Nov-11,5922,5925.6,5766.2,5843.4
24-Nov-11,5824.7,5945.7,5739,5918.75
25-Nov-11,5887.6,5887.6,5779.45,5797.45
28-Nov-11,5850.35,5914.4,5850.35,5895.8
29-Nov-11,5888.05,5893.1,5827.05,5854.2
30-Nov-11,5814.9,5924.15,5803.45,5893.25
01-Dec-11,6022.8,6071.05,5960.85,5996.4
